Rank,Title,Genre,Description,Director,Actors,Year,Runtime (Minutes),Rating,Votes,Revenue (Millions),Metascore,Rated,Released,Writer,Country,Awards,BoxOffice
812,Mama,"Horror,Thriller",A young couple take in their two nieces only to suspect that a foreboding evil has latched itself to their family.,Andrés Muschietti,"Jessica Chastain, Nikolaj Coster-Waldau, Megan Charpentier, Isabelle Nélisse",2013,100,6.2,142560,71.59,57,PG-13,18 Jan 2013,"Andy Muschietti, Barbara Muschietti, Neil Cross","Spain, Canada",11 wins & 19 nominations total,"$71,628,180"
813,Orphan,"Horror,Mystery,Thriller",A husband and wife who recently lost their baby adopt a nine year-old girl who is not nearly as innocent as she claims to be.,Jaume Collet-Serra,"Vera Farmiga, Peter Sarsgaard, Isabelle Fuhrman, CCH Pounder",2009,123,7,153448,41.57,42,R,24 Jul 2009,"David Leslie Johnson-McGoldrick, Alex Mace","Canada, United States, Germany, France",1 win & 7 nominations total,"$41,596,251"
819,Annabelle,"Horror,Mystery,Thriller",A couple begins to experience terrifying supernatural occurrences involving a vintage doll shortly after their home is invaded by satanic cultists.,John R. Leonetti,"Ward Horton, Annabelle Wallis, Alfre Woodard,Tony Amendola",2014,99,5.4,91106,84.26,37,R,03 Oct 2014,Gary Dauberman,United States,3 wins & 7 nominations total,"$84,284,252"
820,Wolves at the Door,"Horror,Thriller","Four friends gather at an elegant home during the Summer of Love, 1969. Unbeknownst to them, deadly visitors are waiting outside. What begins as a simple farewell party turns to a night of ... See full summary »",John R. Leonetti,"Katie Cassidy, Elizabeth Henstridge, Adam Campbell, Miles Fisher",2016,73,4.6,564,NA,63,R,18 Apr 2017,Gary Dauberman,United States,N/A,N/A
826,Crawlspace,"Horror,Thriller",A thriller centered around a widower who moves into a seemingly perfect new home with his daughter and new wife.,Phil Claydon,"Michael Vartan, Erin Moriarty, Nadine Velazquez,Ronnie Gene Blevins",2016,88,5.3,1427,NA,25,NA,NA,NA,NA,NA,NA
827,Shut In,"Drama,Horror,Thriller","A heart-pounding thriller about a widowed child psychologist who lives in an isolated existence in rural New England. Caught in a deadly winter storm, she must find a way to rescue a young boy before he disappears forever.",Farren Blackburn,"Naomi Watts, Charlie Heaton, Jacob Tremblay,Oliver Platt",2016,91,4.6,5715,6.88,NA,PG-13,11 Nov 2016,Christina Hodson,"Canada, France, United States, India",1 nomination total,"$6,900,335"
829,Grindhouse,"Action,Horror,Thriller",Quentin Tarantino and Robert Rodriguez's homage to exploitation double features in the 60s and 70s with two back-to-back cult films that include previews of coming attractions between them.,Robert Rodriguez,"Kurt Russell, Rose McGowan, Danny Trejo, Zoë Bell",2007,191,7.6,160350,25.03,NA,R,06 Apr 2007,"Robert Rodriguez, Rob Zombie, Edgar Wright","United States, Canada",10 wins & 22 nominations total,"$25,037,897"
859,The Hills Have Eyes,Horror,"A suburban American family is being stalked by a group of psychotic people who live in the desert, far away from civilization.",Alexandre Aja,"Ted Levine, Kathleen Quinlan, Dan Byrd, Emilie de Ravin",2006,107,6.4,136642,41.78,52,R,10 Mar 2006,"Wes Craven, Alexandre Aja, Grégory Levasseur","United States, France, Morocco",2 wins & 13 nominations total,"$41,778,863"
866,Horns,"Drama,Fantasy,Horror","In the aftermath of his girlfriend's mysterious death, a young man awakens to find strange horns sprouting from his temples.",Alexandre Aja,"Daniel Radcliffe, Juno Temple, Max Minghella, Joe Anderson",2013,120,6.5,61060,0.16,46,R,03 Oct 2014,"Keith Bunin, Joe Hill","Canada, United States",4 wins & 4 nominations total,"$173,948"
876,28 Weeks Later,"Drama,Horror,Sci-Fi","Six months after the rage virus was inflicted on the population of Great Britain, the US Army helps to secure a small area of London for the survivors to repopulate and start again. But not everything goes to plan.",Juan Carlos Fresnadillo,"Jeremy Renner, Rose Byrne, Robert Carlyle, Harold Perrineau",2007,100,7,221858,28.64,78,R,11 May 2007,"Rowan Joffe, Juan Carlos Fresnadillo, Enrique López Lavigne","United Kingdom, Spain",3 wins & 16 nominations total,"$28,638,916"
